url,file,status,reason
https://nsearchives.nseindia.com/corporate/EIHOTEL01_20112025161650_EIHSTX_transcript.pdf,EIHOTEL01_20112025161650_EIHSTX_transcript_72590127.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SPAL_20112025161706_coveringletter.pdf,SPAL_20112025161706_coveringletter_4dd451f2.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/Anupama_20112025161622_BSENSENRCOUTCOME20112025.pdf,Anupama_20112025161622_BSENSENRCOUTCOME20112025_2fc37fc8.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HINDOILEXPCS_20112025160731_EarningsPPT_signed.pdf,HINDOILEXPCS_20112025160731_EarningsPPT_signed_93518460.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GARUDACONSTRUCTION2010_20112025161428_Outcome.pdf,GARUDACONSTRUCTION2010_20112025161428_Outcome_a03b20b7.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/EIDPARRY1_20112025160039_SE_ESOPIntimationSd.pdf,EIDPARRY1_20112025160039_SE_ESOPIntimationSd_f4faa1e0.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HOMEFIRST_20112025160219_HomeFirstCSARating.pdf,HOMEFIRST_20112025160219_HomeFirstCSARating_de5a4f96.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HUBTOWN_20112025160159_Covering_Letter-Transcript.pdf,HUBTOWN_20112025160159_Covering_Letter-Transcript_5042b6e2.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/ABCAPITAL_20112025155912_ABCL_Analyst_Meet_20112025_OutcomeSigned.pdf,ABCAPITAL_20112025155912_ABCL_Analyst_Meet_20112025_OutcomeSigned_f567301a.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/APTUS_20112025155701_Aptus_Investor_Meeting_Intimation__sd.pdf,APTUS_20112025155701_Aptus_Investor_Meeting_Intimation__sd_6e0dc6ce.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/MEDPLUS_20112025155655_Intimation.pdf,MEDPLUS_20112025155655_Intimation_f88604a6.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/FEDFINA_20112025155412_1Investorcall_20112025postmeeting_Signed.pdf,FEDFINA_20112025155412_1Investorcall_20112025postmeeting_Signed_2d843c59.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HGINFRA_20112025155255_StockExchange.pdf,HGINFRA_20112025155255_StockExchange_4cb9d311.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/DBL_20112025154911_Finalintimation.pdf,DBL_20112025154911_Finalintimation_5cc5326d.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/PAGEIND_20112025154732_TranscriptQ2FY2025.pdf,PAGEIND_20112025154732_TranscriptQ2FY2025_e9ba8249.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/TEMBO_20112025154303_TemboGlobaladanisigned.pdf,TEMBO_20112025154303_TemboGlobaladanisigned_2bc2073d.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/BURNPURCEMENT_20112025154142_Intimation_under_Reg_31A.pdf,BURNPURCEMENT_20112025154142_Intimation_under_Reg_31A_3968e280.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/RBLBANK_20112025153733_IntimationofESOPAllotment20112025-Signed.pdf,RBLBANK_20112025153733_IntimationofESOPAllotment20112025-Signed_683622d9.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GNA_20112025154010_REPLYSOPLODR.pdf,GNA_20112025154010_REPLYSOPLODR_c6a5fd61.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GESHIP_20112025153923_prtobefiled.pdf,GESHIP_20112025153923_prtobefiled_c5bc714f.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/MAXIND_20112025153611_MaxindialimitedtranscriptQ226.pdf,MAXIND_20112025153611_MaxindialimitedtranscriptQ226_db5eafcc.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/JNKINDIA23_20112025153506_Q2FY26_call_transcript.pdf,JNKINDIA23_20112025153506_Q2FY26_call_transcript_7fb4602a.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_20112025153213_StatAdintimationtoSE20112025.pdf,nishant_joshi_adani_com_20112025153213_StatAdintimationtoSE20112025_eb26a553.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/jyotsnam_20112025152947_Intimation_for_sale_of_stake_in_CNTL_signed.pdf,jyotsnam_20112025152947_Intimation_for_sale_of_stake_in_CNTL_signed_ca5687eb.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/DIVGITTS_20112025152347_Divgi-TTS_Q2FY26_Earnings_Call_Transcript_FinalSubmission_signed.pdf,DIVGITTS_20112025152347_Divgi-TTS_Q2FY26_Earnings_Call_Transcript_FinalSubmission_signed_697379b6.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/RNLAM_20112025152321_SE_intimation.pdf,RNLAM_20112025152321_SE_intimation_cbddb085.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/STARHEALTH_20112025150954_SENP20112025.pdf,STARHEALTH_20112025150954_SENP20112025_c842432d.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/FAIRCHEMOR_20112025152008_Outcome_Board_Meeting_20112025.pdf,FAIRCHEMOR_20112025152008_Outcome_Board_Meeting_20112025_b21b6819.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/FAIRCHEMOR_20112025151704_Outcome_Board_Meeting_20112025.pdf,FAIRCHEMOR_20112025151704_Outcome_Board_Meeting_20112025_78d5f7fb.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/Swati_20112025150707_SEIntimation20112025_signed.pdf,Swati_20112025150707_SEIntimation20112025_signed_acbf12d5.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/KHAICHEM_20112025150334_Outcome.pdf,KHAICHEM_20112025150334_Outcome_c5f06dda.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/ADFFOODS1_20112025150059_ADFReg30GPCB_PermanentRevocation.pdf,ADFFOODS1_20112025150059_ADFReg30GPCB_PermanentRevocation_088b20ef.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/MARALOVER_20112025150127_Stock_Exchange_intimationPB_sd.pdf,MARALOVER_20112025150127_Stock_Exchange_intimationPB_sd_b20b050c.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SPARC_20112025150119_PressReleaseForPDP716Ocuvex.pdf,SPARC_20112025150119_PressReleaseForPDP716Ocuvex_1e70e0e0.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/TCPLPACK_20112025145722_Transcript_Conference_Call.pdf,TCPLPACK_20112025145722_Transcript_Conference_Call_79a39591.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HINDZINCNSE_20112025145321_SEIntimationpostalballot20112025.pdf,HINDZINCNSE_20112025145321_SEIntimationpostalballot20112025_debc349a.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/INDIAGLYCO_20112025145105_Reg_30_Disclosure_Observation_Letter-ocr.pdf,INDIAGLYCO_20112025145105_Reg_30_Disclosure_Observation_Letter-ocr_cc8e9f85.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/JINDALSAW_20112025145040_Investor_Call.pdf,JINDALSAW_20112025145040_Investor_Call_0941d5ef.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HIL_20112025144944_Investor_Call_Audio_Q2FY26_dated_20112025signed.pdf,HIL_20112025144944_Investor_Call_Audio_Q2FY26_dated_20112025signed_b3d73fcb.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/BANKINDIA5_20112025144656_RBIPenalty.pdf,BANKINDIA5_20112025144656_RBIPenalty_99e33ad9.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/KDDL_20112025144650_SEsEarningCallTranscript.pdf,KDDL_20112025144650_SEsEarningCallTranscript_6874cd40.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/ICEMAKE_20112025144006_NSE_Transcript.pdf,ICEMAKE_20112025144006_NSE_Transcript_c3c78178.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SPECTRUM_20112025143945_SPECTRUM_Postal_Ballot_Notice_20112025.pdf,SPECTRUM_20112025143945_SPECTRUM_Postal_Ballot_Notice_20112025_1858f939.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/VARROC_20112025143920_Redemption_Commercial_Papers.pdf,VARROC_20112025143920_Redemption_Commercial_Papers_207534db.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SARDAEN_20112025143744_SEML.pdf,SARDAEN_20112025143744_SEML_c395a1d3.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/LSIL_20112025142741_IntimationforAgreementsigned.pdf,LSIL_20112025142741_IntimationforAgreementsigned_f8416927.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SCHAND_20112025142051_Intimationforreaffirmationofcreditrating20112025.pdf,SCHAND_20112025142051_Intimationforreaffirmationofcreditrating20112025_5b05d589.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/AZAD2356_20112025141133_Coveringlettersigned.pdf,AZAD2356_20112025141133_Coveringlettersigned_be4a2d4d.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GOODLUCK_20112025141443_Intimation.pdf,GOODLUCK_20112025141443_Intimation_136bedbe.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/MUFIN_20112025140712_Outcome_.pdf,MUFIN_20112025140712_Outcome__6c6466aa.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GLOBUSSPR_20112025140125_Outcome_Board_Meeting_SD.pdf,GLOBUSSPR_20112025140125_Outcome_Board_Meeting_SD_560bc1e0.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GSFC_20112025135843_newspaperpublication201125.pdf,GSFC_20112025135843_newspaperpublication201125_b4b5c388.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/VENUSPIPES_20112025135647_Venus_Plant_Visit_Intimation_Nov_25.pdf,VENUSPIPES_20112025135647_Venus_Plant_Visit_Intimation_Nov_25_0c5acd74.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/XTGLOBAL_20112025135459_Transcipt_-_Q2_FY26_-_XTGlobal.pdf,XTGLOBAL_20112025135459_Transcipt_-_Q2_FY26_-_XTGlobal_089f963d.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/PVR_20112025134239_PVRINOXOpeningofScreens20112025.pdf,PVR_20112025134239_PVRINOXOpeningofScreens20112025_f54938b7.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/HEG_20112025134459_Stxintimation201125.pdf,HEG_20112025134459_Stxintimation201125_ab5efd97.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/marico_20112025134338_SE_intimation_S.pdf,marico_20112025134338_SE_intimation_S_848fd1af.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/IFBAGRO_20112025134126_SE_UPLOAD.pdf,IFBAGRO_20112025134126_SE_UPLOAD_f5d1ff59.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/GLOTTISLTD_20112025133748_TranscriptEarningcall17112025.pdf,GLOTTISLTD_20112025133748_TranscriptEarningcall17112025_e8241bdb.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/DYNPRO_20112025133504_Outcome.pdf,DYNPRO_20112025133504_Outcome_b778466e.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SAILIFE_20112025133334_LODR_Reg_30_KA_Intermediary_GST_Order_19112025_Signed.pdf,SAILIFE_20112025133334_LODR_Reg_30_KA_Intermediary_GST_Order_19112025_Signed_2e5c7025.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/INFIBEAM_20112025132739_IALIntimationNewspaperAdv20112025.pdf,INFIBEAM_20112025132739_IALIntimationNewspaperAdv20112025_3f1a5aaf.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/8910457293_20112025132112_Reg_30_17112025_writentranscript.pdf,8910457293_20112025132112_Reg_30_17112025_writentranscript_eb841a3f.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/POWERMECH_20112025132051_PB_Intimation_SEs.pdf,POWERMECH_20112025132051_PB_Intimation_SEs_b9392e57.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/ALLCARGOTERMINALS_20112025132006_SEupload.pdf,ALLCARGOTERMINALS_20112025132006_SEupload_e62bae90.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/gthakur_20112025131947_TI_Conversionofwarrants.pdf,gthakur_20112025131947_TI_Conversionofwarrants_bf858e75.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/MANINDS_20112025131914_MIIL_Intimation_to_SE_Press_Release_20112025.pdf,MANINDS_20112025131914_MIIL_Intimation_to_SE_Press_Release_20112025_01efc2bb.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/TCLCONS_20112025131820_Declaration_by_CS_of_the_Company_wrt_Offer_for_Sale_November2025.pdf,TCLCONS_20112025131820_Declaration_by_CS_of_the_Company_wrt_Offer_for_Sale_November2025_bba51af2.pdf,Success,Downloaded
https://nsearchives.nseindia.com/corporate/SHALBYLTD_20112025131046_77TranscriptofEarningsCall.pdf,SHALBYLTD_20112025131046_77TranscriptofEarningsCall_99a88928.pdf,Success,Downloaded
